127.0.0.1 - - [22/Oct/2013:22:13:14 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/saveUser HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:14 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 200 4894
127.0.0.1 - - [22/Oct/2013:22:13:14 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:14 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:14 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:14 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16529
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/style.css HTTP/1.1" 200 4506
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25748
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1949
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1511
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:15 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 200 4718
127.0.0.1 - - [22/Oct/2013:22:13:16 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/editUser?from=list HTTP/1.1" 200 16823
127.0.0.1 - - [22/Oct/2013:22:13:16 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/struts/css_xhtml/validation.js HTTP/1.1" 200 2205
127.0.0.1 - - [22/Oct/2013:22:13:19 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/saveUser HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:20 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/admin/users HTTP/1.1" 200 8721
127.0.0.1 - - [22/Oct/2013:22:13:21 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/editUser?id=2&from=list HTTP/1.1" 200 17246
127.0.0.1 - - [22/Oct/2013:22:13:22 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/saveUser HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:13:22 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/admin/users HTTP/1.1" 200 8344
127.0.0.1 - - [22/Oct/2013:22:13:23 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT HTTP/1.1" 302 -
